product_name,brand,price,image_url,switch_type,connection,layout,key_force,weight_g,wireless_type,engraving,backlight,raw_switch_name,switch_name,switch_manufacturer,product_code,media_url,price_compare_url,media_url_is_placeholder
Razer Ornata V3 TKL Blackpink edition,Razer,179000,https://img.danuri.io/catalog-image/078/645/122/836961c88e944addbeda55ac29745712.jpeg?shrink=130:130&_v=20260610124840,멤브레인,유선,텐키리스,0g,644,유선,영문 정각,RGB 백라이트,,,RAZER 메카,122645078,https://example.com/media,https://prod.danawa.com/info/?pcode=122645078&cate=112782,True
VARMILO MA108M Lovebirds I PBT 염료승화 영문,VARMILO,369500,https://img.danuri.io/catalog-image/848/350/013/0bbb116e667b491980c72e86e6244bb4.jpg?shrink=130:130&_v=20260610124713,무접점,유선,풀배열,45g,1280,유선,영문 정각,단색 백라이트,핑크축,,독자 규격,13350848,https://example.com/media,https://prod.danawa.com/info/?pcode=13350848&cate=112782,True
앱코 HACKER K515 축교환 측면 RGB 라이팅 이중사출 게이밍 기계식 블랙,앱코,40900,https://img.danuri.io/catalog-image/162/321/009/586b397a08f44942bb643c071fe2617e.jpg?shrink=130:130&_v=20260610124900,기계식,유선,풀배열,50g,840,유선,한/영 정각,레인보우 백라이트,적축,,GTMX,9326487,https://example.com/media,https://prod.danawa.com/info/?pcode=9326487&cate=112782,True
앱코 HACKER K515 축교환 측면 RGB 라이팅 이중사출 게이밍 기계식 블랙,앱코,40900,https://img.danuri.io/catalog-image/162/321/009/586b397a08f44942bb643c071fe2617e.jpg?shrink=130:130&_v=20260610124900,기계식,유선,풀배열,50g,840,유선,한/영 정각,레인보우 백라이트,갈축,,GTMX,9326469,https://example.com/media,https://prod.danawa.com/info/?pcode=9326469&cate=112782,True
앱코 HACKER K515 축교환 측면 RGB 라이팅 이중사출 게이밍 기계식 블랙,앱코,40900,https://img.danuri.io/catalog-image/162/321/009/586b397a08f44942bb643c071fe2617e.jpg?shrink=130:130&_v=20260610124900,기계식,유선,풀배열,50g,840,유선,한/영 정각,레인보우 백라이트,청축,,GTMX,9321162,https://example.com/media,https://prod.danawa.com/info/?pcode=9321162&cate=112782,True
darkFlash DF98 유무선 기계식,darkFlash,51890,https://img.danuri.io/catalog-image/522/326/054/b9374f3d7c4e434ea4a9911a525ae4bc.jpg?shrink=130:130&_v=20260610124901,기계식,유선+무선,98키,45g,1113,"전용동글(리시버), 블루투스",한/영 정각,없음,,,,54326522,https://example.com/media,https://prod.danawa.com/info/?pcode=54326522&cate=112782,True
앱코 KN10C PBT 무접점 키보드,앱코,79000,https://img.danuri.io/catalog-image/802/229/015/0ccff54ab988434cb16a9c9d19bb4d85.jpg?shrink=130:130&_v=20260610124800,무접점,유선,풀배열,45g,983,유선,한/영 정각,RGB 백라이트,,,NIZ EC,15229802,https://example.com/media,https://prod.danawa.com/info/?pcode=15229802&cate=112782,True
COX CQ8K108 유무선 기계식 에버그린,COX,79000,https://img.danuri.io/catalog-image/544/410/098/5c07d0f2804b44799b0cc003e3c20568.jpg?shrink=130:130&_v=20260610124713,기계식,유선,풀배열,50g,1140,"전용동글(리시버), 블루투스",한/영 정각,RGB 백라이트,,,,98410544,https://example.com/media,https://prod.danawa.com/info/?pcode=98410544&cate=112782,True
COX CY104K V2 카일 광축 V2 게이밍 화이트&블루,COX,65000,https://img.danuri.io/catalog-image/966/887/090/b3feb5ddb51c4721aef5b9f0d62dd76d.jpeg?shrink=130:130&_v=20260610124800,무접점 광축,유선,풀배열,40g,1200,유선,한/영 정각,레인보우 백라이트,적축,,카일,90887978,https://example.com/media,https://prod.danawa.com/info/?pcode=90887978&cate=112782,True
COX CY104K V2 카일 광축 V2 게이밍 화이트&블루,COX,65000,https://img.danuri.io/catalog-image/966/887/090/b3feb5ddb51c4721aef5b9f0d62dd76d.jpeg?shrink=130:130&_v=20260610124800,무접점 광축,유선,풀배열,40g,1200,유선,한/영 정각,레인보우 백라이트,갈축,,카일,90887966,https://example.com/media,https://prod.danawa.com/info/?pcode=90887966&cate=112782,True
COX CY104K V2 카일 광축 V2 게이밍 화이트&블루,COX,65000,https://img.danuri.io/catalog-image/966/887/090/b3feb5ddb51c4721aef5b9f0d62dd76d.jpeg?shrink=130:130&_v=20260610124800,무접점 광축,유선,풀배열,40g,1200,유선,한/영 정각,레인보우 백라이트,청축,,카일,90887969,https://example.com/media,https://prod.danawa.com/info/?pcode=90887969&cate=112782,True
CORSAIR DROP CSTM80 기계식,CORSAIR,191500,https://img.danuri.io/catalog-image/051/216/071/192c23cb2e2c4d7786e6fa6b06ecb232.jpg?shrink=130:130&_v=20260610124713,기계식,유선,텐키리스,50g,1260,유선,정보없음,RGB 백라이트,갈축,,게이트론,71216027,https://example.com/media,https://prod.danawa.com/info/?pcode=71216027&cate=112782,True
CORSAIR DROP CSTM80 기계식,CORSAIR,191480,https://img.danuri.io/catalog-image/051/216/071/192c23cb2e2c4d7786e6fa6b06ecb232.jpg?shrink=130:130&_v=20260610124713,기계식,유선,텐키리스,50g,1260,유선,정보없음,RGB 백라이트,황축,,게이트론,71216051,https://example.com/media,https://prod.danawa.com/info/?pcode=71216051&cate=112782,True
